EmployeeID,Age,Salary,Satisfaction,YearsAtCompany,Attrition
1,50,49065,3,2,No
2,36,88561,1,5,Yes
3,29,47924,5,12,No
4,42,52556,4,7,Yes
5,40,84693,4,12,No
6,44,56962,2,14,Yes
7,32,58295,5,8,No
8,32,43807,3,8,No
9,45,72348,1,3,Yes
10,57,56432,2,13,No
11,45,47749,4,4,Yes
12,24,71459,3,1,No
13,43,56256,3,10,No
14,23,87854,1,8,No
15,45,70262,4,7,Yes
16,51,67080,5,2,Yes
17,59,31324,3,10,No
18,23,55731,1,11,No
19,42,89171,5,12,No
20,54,65909,4,8,No
21,33,53803,3,2,Yes
22,43,49870,5,8,No
23,46,64578,5,1,No
24,48,36588,5,11,Yes
25,49,82075,3,9,Yes
26,37,68069,3,8,Yes
27,36,56790,2,14,No
28,24,83338,4,7,No
29,58,55289,1,8,Yes
30,28,85129,5,4,No
31,42,58178,2,10,Yes
32,30,58710,1,10,Yes
33,39,45485,2,1,Yes
34,25,74482,3,7,Yes
35,46,50652,5,11,Yes
36,35,34748,1,14,No
37,30,51233,1,5,No
38,47,39435,1,7,Yes
39,23,33709,1,10,Yes
40,41,88425,1,4,No
41,49,60355,2,9,Yes
42,28,85771,5,1,No
43,29,87799,3,5,No
44,56,43116,3,4,No
45,35,55470,3,11,No
46,38,72344,3,12,Yes
47,57,72918,2,11,Yes
48,25,82224,4,4,No
49,23,69298,5,12,No
50,27,72956,1,0,No
51,25,44683,4,1,No
52,50,30504,3,7,No
53,39,63982,4,12,No
54,47,64299,5,13,No
55,55,58016,1,12,No
56,31,53960,1,2,Yes
57,57,63591,5,9,No
58,35,47312,5,2,Yes
59,52,67797,3,7,Yes
60,36,76196,1,7,Yes
61,29,79285,4,1,No
62,35,32105,2,7,No
63,44,66395,2,10,Yes
64,42,75740,5,12,No
65,37,52700,3,12,Yes
66,39,64620,2,0,Yes
67,45,67678,1,5,No
68,47,50559,5,7,No
69,46,57509,4,2,Yes
70,50,57860,5,7,No
71,36,41003,4,11,No
72,22,51732,5,0,No
73,46,55826,5,10,No
74,28,60354,5,10,No
75,30,43843,4,8,No
76,45,74472,4,12,No
77,22,78529,5,10,No
78,29,36190,2,12,Yes
79,45,47640,3,8,No
80,32,82528,3,4,No
81,38,68413,3,9,No
82,29,82638,4,3,Yes
83,56,82736,4,14,No
84,56,72356,2,10,No
85,54,74597,3,5,No
86,26,70821,3,11,Yes
87,49,33330,5,6,No
88,28,49087,4,4,No
89,30,71430,3,10,Yes
90,29,54504,2,12,Yes
91,33,37114,2,9,No
92,55,43323,3,8,No
93,54,64121,4,2,No
94,44,40975,2,14,Yes
95,45,41023,5,6,No
96,58,51447,2,9,Yes
97,56,54933,1,9,Yes
98,43,53959,1,10,Yes
99,48,30667,4,4,No
100,56,83620,3,13,No
101,22,59703,4,6,No
102,56,39337,4,14,No
103,58,76427,4,1,No
104,35,85971,4,3,No
105,24,66487,5,1,Yes
106,22,49129,5,13,No
107,26,70251,2,12,No
108,47,61921,1,12,No
109,35,63307,4,11,No
110,48,57355,2,6,Yes
111,30,67732,1,1,Yes
112,36,34835,3,12,No
113,36,50159,5,13,No
114,47,68810,1,10,No
115,34,77605,3,0,No
116,53,86254,1,8,No
117,53,70080,5,0,Yes
118,25,68088,5,7,No
119,51,43216,2,14,Yes
120,58,85284,4,1,No
121,44,87043,1,11,Yes
122,36,89852,1,7,Yes
123,50,65547,3,12,No
124,57,61471,5,2,No
125,34,47308,1,5,No
126,53,57532,5,2,Yes
127,28,64349,1,13,Yes
128,43,86866,2,6,No
